fyear,tic,rect,sale,ACR_turnover_ratio,R_collection_days,return_on_assets,profit_margin,sales_turnover_ratio,inv_turnover_ratio
2014,AAPL,27219.0000,182795.0000,13.431426577,27.175073169,,0.2161437676,,
2015,AAPL,30343.0000,233715.0000,15.404870975,23.69380442,0.2044501625,0.228457737,,58.111659193
2016,AAPL,29299.0000,215091.0000,14.682480631,24.859559442,0.1492636789,0.2124077716,,54.262887748
2017,AAPL,35673.0000,229234.0000,12.851960867,28.400335465,0.1387393204,0.2109242085,,37.683698297
2018,AAPL,48995.0000,265359.0000,10.832084907,33.696190821,0.1606679226,0.224341364,,34.695948247
2019,AAPL,45804.0000,260174.0000,11.360317876,32.129382644,0.1569235532,0.2123809451,,37.021830811
2014,MSFT,19544.0000,86451.0000,8.8468072043,41.25782235,0.0864122137,0.2553353923,,6.7067691398
2015,MSFT,17908.0000,93580.0000,10.451194997,34.924235948,0.0699526975,0.1302949348,,9.938151744
2016,MSFT,18277.0000,85320.0000,9.3363243421,39.094614393,0.0908203732,0.1968823254,,10.441296332
2017,MSFT,19792.0000,89950.0000,9.0895311237,40.156086715,0.0975389852,0.2357309616,,11.940884477
2018,MSFT,26481.0000,110360.0000,8.3350326649,43.791070134,0.0662927506,0.1501540413,,11.750154863
2019,MSFT,29524.0000,125843.0000,8.5247933884,42.816286961,0.1438933341,0.3118171054,,13.252910053
2014,DELL,,,,,,,,
2015,DELL,,,,,,,,
2016,DELL,12642.0000,61642.0000,9.7519379845,37.42845787,,-0.027124363,,
2017,DELL,15096.0000,78660.0000,10.421303657,35.024408848,-0.031003755,-0.047393847,,20.411809816
2018,DELL,16769.0000,90621.0000,10.80815791,33.770787124,-0.019735072,-0.02549078,,19.239449976
2019,DELL,17379.0000,92154.0000,10.605213188,34.417035614,0.0400206346,0.0500900666,,17.145743146
